                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5852,                 1.8374,                 1.3895,                 0.4743,                0.34045,                0.30719,                0.19246,                 1.4922,                 1.7081,                 1.3558,             0.00030521,             0.00030521,             0.00030521
                     35,                 1.5768,                 1.8299,                 1.3836,                0.49182,                0.33574,                0.30494,                0.19074,                 1.4912,                 1.7281,                 1.3522,             0.00028872,             0.00028872,             0.00028872
                     36,                 1.5722,                  1.824,                 1.3835,                0.48128,                0.34333,                0.30988,                 0.1942,                 1.4732,                 1.6983,                 1.3404,             0.00027222,             0.00027222,             0.00027222
                     37,                  1.567,                 1.8053,                 1.3712,                0.48235,                0.34149,                 0.3135,                0.19599,                 1.4882,                 1.6955,                 1.3483,             0.00025573,             0.00025573,             0.00025573
                     38,                 1.5677,                   1.81,                 1.3747,                0.47654,                0.34252,                0.31284,                0.19456,                 1.4721,                 1.7024,                 1.3353,             0.00023924,             0.00023924,             0.00023924
                     39,                 1.5656,                 1.8035,                 1.3699,                0.49426,                0.34274,                0.31526,                0.19998,                 1.4704,                 1.6862,                  1.336,             0.00022274,             0.00022274,             0.00022274
                     40,                  1.535,                 1.7862,                 1.3628,                0.49049,                  0.347,                0.31879,                0.20399,                 1.4483,                 1.6648,                 1.3303,             0.00020625,             0.00020625,             0.00020625
                     41,                 1.5431,                 1.8265,                  1.361,                0.48779,                0.34853,                0.31783,                0.20158,                 1.4672,                 1.7034,                 1.3295,             0.00018976,             0.00018976,             0.00018976
                     42,                 1.5271,                 1.7809,                 1.3492,                0.49853,                0.34831,                0.32646,                0.20687,                 1.4614,                 1.6958,                 1.3177,             0.00017326,             0.00017326,             0.00017326
                     43,                 1.5161,                 1.7724,                 1.3467,                0.51038,                0.34984,                0.33863,                 0.2171,                 1.4399,                 1.6712,                  1.312,             0.00015677,             0.00015677,             0.00015677
                     44,                 1.5122,                 1.7757,                 1.3448,                0.51253,                0.36145,                0.34107,                0.21943,                 1.4397,                 1.6678,                   1.31,             0.00014028,             0.00014028,             0.00014028
                     45,                 1.5086,                 1.7586,                 1.3367,                0.50846,                0.35565,                0.34077,                 0.2209,                 1.4461,                 1.6776,                 1.3093,             0.00012378,             0.00012378,             0.00012378
                     46,                 1.4991,                 1.7528,                 1.3334,                0.51074,                 0.3724,                0.35275,                0.22931,                 1.4243,                 1.6443,                 1.2985,             0.00010729,             0.00010729,             0.00010729
                     47,                  1.495,                 1.7396,                 1.3343,                0.51722,                0.36521,                0.35268,                0.22942,                 1.4219,                 1.6445,                 1.2994,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                 1.4858,                 1.7389,                 1.3255,                0.51151,                0.37063,                 0.3527,                0.23036,                  1.429,                 1.6405,                 1.2984,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                 1.4921,                 1.7246,                 1.3243,                0.53084,                0.36698,                0.36094,                0.23726,                 1.4126,                  1.624,                 1.2914,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                 1.4789,                 1.7241,                 1.3227,                0.52593,                0.37231,                0.36157,                0.23757,                 1.4124,                 1.6255,                  1.292,             4.1317e-05,             4.1317e-05,             4.1317e-05
